NO;SOUND;UNIT;TIME
596;57.9;dBC;05-04-24/15:25:30
597;55.5;dBC;05-04-24/15:25:40
598;50.8;dBC;05-04-24/15:25:50
599;55.5;dBC;05-04-24/15:26:00
600;51.2;dBC;05-04-24/15:26:10
601;49.3;dBC;05-04-24/15:26:20
602;53.1;dBC;05-04-24/15:26:30
603;50.5;dBC;05-04-24/15:26:40
604;51.0;dBC;05-04-24/15:26:50
605;63.2;dBC;05-04-24/15:27:00
606;56.5;dBC;05-04-24/15:27:10
607;63.6;dBC;05-04-24/15:27:20
608;56.0;dBC;05-04-24/15:27:30
609;55.3;dBC;05-04-24/15:27:40
610;57.0;dBC;05-04-24/15:27:50
611;58.9;dBC;05-04-24/15:28:00
612;61.2;dBC;05-04-24/15:28:10
613;54.3;dBC;05-04-24/15:28:20
614;56.7;dBC;05-04-24/15:28:30
615;59.6;dBC;05-04-24/15:28:40
616;59.1;dBC;05-04-24/15:28:50
617;51.2;dBC;05-04-24/15:29:00
618;52.7;dBC;05-04-24/15:29:10
619;54.1;dBC;05-04-24/15:29:20
620;55.0;dBC;05-04-24/15:29:30
621;52.4;dBC;05-04-24/15:29:40
622;54.8;dBC;05-04-24/15:29:50
623;63.6;dBC;05-04-24/15:30:00
624;52.2;dBC;05-04-24/15:30:10
625;50.0;dBC;05-04-24/15:30:20
626;53.1;dBC;05-04-24/15:30:30
627;51.5;dBC;05-04-24/15:30:40
628;56.5;dBC;05-04-24/15:30:50
629;54.8;dBC;05-04-24/15:31:00
